pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,9/30/2023,89.9,-1.5,6.86,"Verlander, Justin",672515,434378,field_out,hit_into_play,,,,,9,"Gabriel Moreno grounds out, shortstop Jeremy Pena to first baseman Jose Abreu.",R,R,R,AZ,HOU,X,6,ground_ball,1,2,2023,0.47,0.45,0.57,1.49,,666971,,2,4,Bot,110.85,151.04,,,455117,,,4.114302259,-130.7331544,-8.261940443,4.547634892,25.81929103,-25.58112314,3.32,1.5,10,77.3,-8,89.6,2551,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.5,0.089,0.08,0,1,0,0,2,33,5,Slider,0,1,0,1,1,0,0,1,Standard,Standard,176,-0.044,-0.228
FF,9/30/2023,95.5,-1.33,6.96,"Verlander, Justin",672515,434378,,foul,,,,,1,"Gabriel Moreno grounds out, shortstop Jeremy Pena to first baseman Jose Abreu.",R,R,R,AZ,HOU,S,,,1,2,2023,-0.5,1.44,-0.41,3.3,,666971,,2,4,Bot,,,,,455117,,,3.517040143,-138.8135503,-7.143871378,-7.330354826,32.76714646,-12.11630067,3.32,1.5,220,74.8,31,94.6,2362,5.9,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.55,,,,,,,,33,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,203,0,0
FF,9/30/2023,96.4,-1.42,6.81,"Verlander, Justin",672515,434378,,called_strike,,,,,3,"Gabriel Moreno grounds out, shortstop Jeremy Pena to first baseman Jose Abreu.",R,R,R,AZ,HOU,S,,,1,1,2023,-0.71,1.53,0.49,3.22,,666971,,2,4,Bot,,,,,455117,,,6.648698966,-140.0301783,-7.356688868,-10.88034579,33.01703124,-10.6016251,3.37,1.57,,,,95.6,2479,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.48,,,,,,,,33,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,205,0,-0.07
CU,9/30/2023,79.4,-1.54,6.88,"Verlander, Justin",672515,434378,,called_strike,,,,,5,"Gabriel Moreno grounds out, shortstop Jeremy Pena to first baseman Jose Abreu.",R,R,R,AZ,HOU,S,,,1,0,2023,0.55,-1.03,0.26,2.44,,666971,,2,4,Bot,,,,,455117,,,2.904530121,-115.519886,-0.92725316,4.236715209,24.03501788,-41.38994486,3.37,1.5,,,,78.7,2826,6.1,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.41,,,,,,,,33,2,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,40,0,-0.052
CU,9/30/2023,79.8,-1.74,6.87,"Verlander, Justin",672515,434378,,ball,,,,,14,"Gabriel Moreno grounds out, shortstop Jeremy Pena to first baseman Jose Abreu.",R,R,R,AZ,HOU,B,,,0,0,2023,0.4,-0.75,0.93,1.37,,,666971,2,4,Bot,,,,,455117,,,5.083971919,-116.0615328,-3.871793467,2.582423219,23.52440312,-38.30681385,3.3,1.54,,,,79,2719,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.55,,,,,,,,33,1,Curveball,0,1,0,1,1,0,0,1,,Standard,37,0.013,0.025
FF,9/30/2023,96,-1.38,6.91,"Verlander, Justin",446334,434378,field_out,hit_into_play,,,,,3,Evan Longoria lines out sharply to center fielder Mauricio Dubon.,R,R,R,AZ,HOU,X,8,line_drive,1,2,2023,-0.53,1.56,0.57,3.57,,,666971,1,4,Bot,164.1,62.69,,,455117,,,6.337120446,-139.4887453,-6.678765377,-8.477002239,34.46639816,-10.46293983,3.65,1.73,370,96.7,26,95,2462,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.48,0.357,0.499,0,1,0,0,5,32,4,4-Seam Fastball,0,1,0,1,1,0,0,1,,Standard,206,-0.038,-0.22
CU,9/30/2023,79.7,-1.66,6.94,"Verlander, Justin",446334,434378,,foul,,,,,14,Evan Longoria lines out sharply to center fielder Mauricio Dubon.,R,R,R,AZ,HOU,S,,,1,1,2023,0.53,-1.2,0.08,1.18,,,666971,1,4,Bot,,,,,455117,,,2.800159706,-115.9518928,-3.593550334,4.159750407,23.40722111,-42.45240205,3.65,1.73,3,70.7,-27,78.7,2853,5.8,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.71,,,,,,,,32,3,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,36,0,-0.064
CU,9/30/2023,76.2,-1.68,6.96,"Verlander, Justin",446334,434378,,foul,,,,,4,Evan Longoria lines out sharply to center fielder Mauricio Dubon.,R,R,R,AZ,HOU,S,,,1,0,2023,0.73,-1.08,-0.29,2.86,,,666971,1,4,Bot,,,,,455117,,,1.610239783,-110.9666706,0.413694697,5.673641782,20.95788197,-41.39254544,3.65,1.73,264,92,24,75.7,2728,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.48,,,,,,,,32,2,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,38,0,-0.061
CU,9/30/2023,78.4,-1.65,6.94,"Verlander, Justin",446334,434378,,ball,,,,,14,Evan Longoria lines out sharply to center fielder Mauricio Dubon.,R,R,R,AZ,HOU,B,,,0,0,2023,0.45,-0.89,1.04,2.09,,,666971,1,4,Bot,,,,,455117,,,4.940698476,-114.1074139,-1.982984877,3.034384722,21.07534327,-39.81315677,3.6,1.73,,,,78,2691,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.48,,,,,,,,32,1,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,38,0,0.042
FF,9/30/2023,94.7,-1,6.93,"Verlander, Justin",666971,434378,single,hit_into_play,,,,,6,Lourdes Gurriel Jr.  singles on a line drive to right fielder Kyle Tucker.,R,R,R,AZ,HOU,X,9,line_drive,2,1,2023,-0.27,1.57,0.48,2.77,,,,1,4,Bot,178.53,133.41,,,455117,,,4.441263929,-137.6327062,-8.626243399,-4.381819556,30.88990759,-10.526863,3.56,1.68,211,95.6,10,94.1,2307,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.47,0.683,0.638,0.9,1,1,0,4,31,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,203,0.034,0.237
FF,9/30/2023,94.4,-1.14,6.96,"Verlander, Justin",666971,434378,,called_strike,,,,,2,Lourdes Gurriel Jr.  singles on a line drive to right fielder Kyle Tucker.,R,R,R,AZ,HOU,S,,,2,0,2023,-0.34,1.58,0.21,3.18,,,,1,4,Bot,,,,,455117,,,4.240742439,-137.2302932,-7.607746874,-5.179806957,30.17491663,-10.77628865,3.74,1.77,,,,93.8,2324,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.51,,,,,,,,31,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,204,0,-0.04
FF,9/30/2023,95.2,-1.22,6.95,"Verlander, Justin",666971,434378,,ball,,,,,2,Lourdes Gurriel Jr.  singles on a line drive to right fielder Kyle Tucker.,R,R,R,AZ,HOU,B,,,1,0,2023,-0.61,1.51,-0.08,3.7,,,,1,4,Bot,,,,,455117,,,4.350301997,-138.4974808,-6.219851793,-8.863375255,30.65475342,-11.54605385,3.72,1.8,,,,94.7,2353,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.51,,,,,,,,31,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,205,0,0.042
FF,9/30/2023,94.8,-1.05,6.98,"Verlander, Justin",666971,434378,,ball,,,,,12,Lourdes Gurriel Jr.  singles on a line drive to right fielder Kyle Tucker.,R,R,R,AZ,HOU,B,,,0,0,2023,-0.24,1.56,0.77,4.27,,,,1,4,Bot,,,,,455117,,,5.267266827,-137.8882993,-4.856189327,-4.221634968,31.07261039,-11.42000909,3.8,1.84,,,,94.1,2316,6,716370,434378,455117,547989,514888,608324,665161,676801,643289,663656,54.54,,,,,,,,31,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,202,0,0.025
